"plot_in_year","ACMGLA","AMSMEN","BRATOR","BRODIA","BROMAD","CALCIL","CRACON","CROSET","CRYINT","EROCIC","EROMOS","EUCCHR","HORMUR","LUPBIC","LUPSPA","LUPTRU","NEMMEN","PECLIN","PHADIS","SCHBAR","SISERY","SONOLE"
"G_6_U.2021.unraked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_7_L.2021.unraked",0,0.0105263157894737,0.0210526315789474,0.947368421052632,0,0,0,0,0,0,0.0105263157894737,0,0.0105263157894737,0,0,0,0,0,0,0,0,0
"G_7_U.2021.raked",0,0.074468085106383,0.0212765957446809,0.893617021276596,0,0,0,0,0,0.0106382978723404,0,0,0,0,0,0,0,0,0,0,0,0
"G_8_L.2021.raked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_8_U.2021.unraked",0,0.010989010989011,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_9_L.2021.unraked",0,0.010989010989011,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_9_U.2021.raked",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_10_L.2021.raked",0,0.0108695652173913,0.0108695652173913,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_10_U.2021.unraked",0,0.010989010989011,0,0.989010989010989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_1_L.2022.unraked",0,0.0714285714285714,0.0142857142857143,0.528571428571429,0.371428571428571,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,0,0
"A_1_U.2022.raked",0,0.0112359550561798,0.0561797752808989,0.741573033707865,0.146067415730337,0,0,0,0,0,0,0,0.0449438202247191,0,0,0,0,0,0,0,0,0
"A_2_L.2022.raked",0,0.0707070707070707,0.0404040404040404,0.464646464646465,0.353535353535354,0.0101010101010101,0,0,0.0101010101010101,0.0101010101010101,0,0,0.0101010101010101,0.0101010101010101,0,0.0202020202020202,0,0,0,0,0,0
"A_2_U.2022.unraked",0,0.0963855421686747,0.0120481927710843,0.746987951807229,0.120481927710843,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0.0120481927710843,0,0,0,0,0
"A_3_L.2022.unraked",0,0.0125,0.0125,0.4875,0.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_3_U.2022.raked",0,0.0545454545454545,0.0727272727272727,0.327272727272727,0.509090909090909,0,0,0,0.0181818181818182,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0
"A_4_L.2022.raked",0,0.0133333333333333,0.0533333333333333,0.853333333333333,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_4_U.2022.unraked",0,0.0588235294117647,0.0235294117647059,0.729411764705882,0.188235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
